mp-id,electronic_11,electronic_12,electronic_13,electronic_22,electronic_23,electronic_33,ionic_11,ionic_12,ionic_13,ionic_22,ionic_23,ionic_33,total_11,total_12,total_13,total_22,total_23,total_33
mp-1968,4.800528,-0.0,0.0,4.800524,-0.0,4.690947,24.522172,-0.0,0.0,24.522152,-0.0,25.669095,29.3227,-0.0,0.0,29.322675999999998,-0.0,30.360042
mp-1205686,4.639136,0.0,-0.0,4.657977,0.032707,4.711996,45.752044,-0.0,0.0,34.152973,-2.83857,28.808957,50.39118,0.0,0.0,38.810950000000005,-2.805863,33.520953
mp-20620,4.982667,0.0,-0.0,4.982667,-0.0,4.982667,30.36939,-0.0,0.0,30.36939,-0.0,30.36939,35.352057,0.0,0.0,35.352057,-0.0,35.352057
mp-561068,5.588665,-0.020381,-0.043601,5.582115,-0.051167,5.496548,24.940765,1.952231,4.177196,25.56801,4.901826,33.765537,30.529429999999998,1.93185,4.133595000000001,31.150125000000003,4.850658999999999,39.262085
mp-7886,2.140905,0.0,-0.0,2.140905,-0.0,2.140905,19.24849,-0.0,-0.0,19.24849,-0.0,19.24849,21.389395,0.0,-0.0,21.389395,-0.0,21.389395
mp-1205600,1.0,-0.0,-0.0,1.0,0.0,1.0,49.922781,0.0,-0.0,34.006319,-4.704019,26.867602,50.922781,0.0,-0.0,35.006319,-4.704019,27.867602
mp-1214622,4.637213,-0.0,-0.0,4.637213,0.0,4.637213,88.958801,-0.0,0.0,88.958801,-0.0,88.958801,93.596014,-0.0,0.0,93.596014,0.0,93.596014
mp-1113151,2.14834,0.0,-0.0,2.14834,-0.0,2.14834,14.236463,-0.0,0.0,14.236463,-0.0,14.236463,16.384803,0.0,0.0,16.384803,-0.0,16.384803
mp-1103508,4.381888,0.0,0.0,4.381888,0.0,4.263511,59.709369,-0.0,-0.0,59.709357,-0.0,38.881249,64.091257,0.0,0.0,64.091245,0.0,43.14476
mp-7251,4.869163,-0.0,-0.0,4.869163,0.0,4.869163,66.618876,-0.0,0.0,66.618876,-0.0,66.618876,71.488039,-0.0,0.0,71.488039,0.0,71.488039
mp-23044,7.378425,-0.0,-0.0,7.378425,0.0,6.255929,54.993646,0.0,0.0,54.993646,-0.0,81.571495,62.372071,0.0,0.0,62.372071,0.0,87.827424
mp-6167,1.0,0.0,-0.0,1.0,0.0,1.0,66.702638,0.0,0.0,37.964038,-5.797939,27.690259,67.702638,0.0,0.0,38.964038,-5.797939,28.690259
mp-559756,5.02496,-0.0,0.0,4.957097,0.0,4.765469,25.251819,-0.0,-0.0,20.72552,0.0,23.318268,30.276779,-0.0,0.0,25.682617,0.0,28.083737
